id,name,artist,dance,energy,loud,mode,speech,acoustic,instrument,live,valence,tempo
2zAh10cRcPXgFsanshnOAS ,Pois Foi                                                                                                                                                                         ,Deolinda                                        ,0.459,0.254,-11.39,0,0.0279,0.947,0.00602,0.122,0.494,79.85
5l0DBnIG2TyCfKMU9LCjZr ,Há-De Passar                                                                                                                                                                     ,Deolinda                                        ,0.776,0.347,-9.761,1,0.0562,0.961,0.000404,0.0932,0.51,123.28
3gcA0BXLBKnO40ZXDK9VoK ,Xico                                                                                                                                                                             ,Luisa Sobral                                    ,0.442,0.56,-8.231,1,0.139,0.47,1.53e-05,0.347,0.622,179.643
66D9dZn03aR2N0pUi82at4 ,O Engraxador                                                                                                                                                                     ,Luisa Sobral                                    ,0.725,0.293,-10.315,1,0.0421,0.826,0.000479,0.244,0.343,105.045
6pugaRBHKXcCN9Lq0xJjg9 ,Clandestino                                                                                                                                                                      ,Chico César                                     ,0.635,0.398,-12.003,0,0.0694,0.717,4.49e-06,0.671,0.504,172.19
6E806gbKs6rdLPxBckYrjp ,Trem das Onze                                                                                                                                                                    ,Demonios Da Garoa                               ,0.566,0.424,-9.784,0,0.0413,0.557,7.03e-06,0.144,0.679,91.649
4Zal3Pf8grfpsquXFYe0vK ,Chove Chuva                                                                                                                                                                      ,Jorge Ben Jor                                   ,0.714,0.451,-8.52,1,0.0385,0.584,0.0,0.0881,0.514,134.969
43noYsG42MtaESRd7Ks3s7 ,Menina Mulher Da Pele Preta                                                                                                                                                      ,Jorge Ben Jor                                   ,0.591,0.557,-10.097,0,0.0584,0.648,0.0486,0.231,0.979,135.65
4SSADZr3VsQeoqNbjLXw8W ,Agua De Beber                                                                                                                                                                    ,Astrud Gilberto                                 ,0.645,0.357,-15.628,0,0.0356,0.426,0.0,0.0727,0.86,147.846
4ic2XfSYoMch7DrdNf2T3N ,Agua De Beber                                                                                                                                                                    ,Sophie Milman                                   ,0.66,0.759,-8.55,1,0.0437,0.243,0.00227,0.0756,0.7,94.477
184vQULG1zx0OOH25Sa6C5 ,Lá Vem O Brasil Descendo A Ladeira                                                                                                                                               ,Moraes Moreira                                  ,0.677,0.94,-6.606,0,0.0764,0.387,0.0,0.0846,0.824,166.501
